Species,Symbol,Plot,Pull date,Length (cm),Diameter X (TB/SS) (mm),Diameter Y (TB/SS) (mm),Wet Weight log,Wet weight excess,Post Drill Wet Weight,Volume,Mass after volume,Dry weight,Insect Damage (Y/N),Damage Assessment (0-4),Fungal fruiting bodies (Y/N),Picture time,Penetrometer depth (mm),Penetrometer hits,MCT Rack Placement,Insect Identification,Fungal identification,Date placed in Oven,Date removed from Oven,Notes:,Date removed from Oven
ACRU,4-B,1-H,6/8/2012,21.70,69.91/67.43,79.70/75.94,499.81,11.74,489.56,1.09,0.0745,351.81,y,2,n,,37.95,20,,,,6/8/2012,6/11/12,,6/11/12
AEGL,4-K,1-H,6/8/2012,21.00,59.53/65.87,59.06/63.38,241.85,0,234.96,0.59,0.061,134.89,y,2,n,,62.33,18,,,,6/8/2012,6/11/12,Beetle bores through intact bark; difficult to tell how deep they go into the wood. One deep bore in center of each end.,6/11/12
AMAR,3-B,1-H,6/7/2012,20.70,53.06/56.97,54.14/55.65,251.42,0,240.24,0.43,0.055,160.86,y,2,y,"10:54, 10:54",43.39,20,,,,6/7/2012,6/11/12,Crustlike fruiting bodies were not collected.,6/11/12
ASTR,2-F,1-H,6/8/2012,20.90,52.27/56.19,55.64/52.30,247.15,8.8,240.56,0.43,0.032,172.87,y,2,n,,21.28,20,,,,6/8/2012,6/11/12,,6/11/12
CATO,2-G,1-H,6/7/2012,20.60,80.38/78.16,79.66/79.40,567.3,0,557.12,0.9,0.055,415.38,y,2,y,,15.21,20,,,,6/7/2012,6/11/12,Single fruiting body too old to photograph or collect.,6/11/12
CEOC,2-F,1-H,6/8/2012,22.50,58.05/56.54,57.55/56.49,318.65,32.65,312,0.62,0.026,229.97,y,2,n,,24.36,20,,,,6/8/2012,6/11/12,,6/11/12
CEOC2,3-B,1-H,6/7/2012,21.70,69.62/73.65,69.30/79.90,628.62,0,619.6,0.94,0.022,469.99,y,1,y,"10:27, 10:27",10.23,20,,,,6/7/2012,6/11/12,Insect damage on raised bark ridges only; it seems that the wood itself was too difficult to bore into. Very thin crust fungi (white and purple) were not collected.,6/11/12
COFL,2-D,1-H,6/8/2012,21.90,56.69/57.18,58.19/64.61,387.05,13.61,376.8,0.57,0.0265,288.6,y,1,y?,10:48,9.67,20,,,,6/8/2012,6/11/12,,6/11/12
DIVI,1-C,1-H,6/7/2012,20.50,81.34/67.58,75.48/64.94,444.31,34.27,436.36,0.81,0.0315,326.44,y,3,n,,39.3,20,,,,6/7/2012,6/11/12,,6/11/12
FRAM,1-I,1-H,6/8/2012,22.30,61.98/64.99,63.19/63.34,524.49,0,516.35,0.65,0.0175,399.72,y,1,n,,12.13,20,,,,6/8/2012,6/11/12,One deep hole in each end of log.,6/11/12
GLTR,4-H,1-H,6/8/2012,20.80,43.92/44.47,47.27/44.03,175.04,0,169.15,0.29,0.023,115.09,y,2,y,,26.34,20,,,,6/8/2012,6/11/12,Very old fruiting bodies not photographed or collected.,6/11/12
JUNI,3-D,1-H,6/7/2012,22.10,63.95/67.97,63.62/62.63,421.05,0,411.49,0.66,0.038,291.92,n,0,n,,22.41,20,,,,6/7/2012,6/11/12,Lots of lichen on bark and some superficial insect damage in a restricted area.,6/11/12
JUVI,2-F,1-H,6/7/2012,21.20,78.24/80.10,74.69/79.54,564.17,0,557.61,1,0.026,453.8,y,2,n,10:39,15.88,20,,,,6/7/2012,6/11/12,Very extensive insect galleries photographed.,6/11/12
JUVI2,7-A,1-H,6/7/2012,23.10,73.79/71.9,75.91/83.78,607.25,0,599.93,0.98,0.0285,464.74,y,2,n,,24.71,20,,,,6/7/2012,6/11/12,,6/11/12
LOMA,6-B,1-H,6/7/2012,21.60,52.87/53.91,50.13/54.56,350.14,0,343.58,0.42,0.0155,237.84,y,1,n,,10.29,20,,,,6/7/2012,6/11/12,One deep (~8mm) hole at end of log but no other observable insect damage.,6/11/12
PIEC,2-E,1-H,6/7/2012,23.00,72.88/71.57,71.6/71.37,539.2,0,531.57,0.94,0.026,402.5,n,0,n,,19.88,20,,,,6/7/2012,6/11/12,,6/11/12
PIST,2-1-B,1-H,6/8/2012,21.40,49.44/43.64,48.37/44.55,198.75,9.26,190.67,0.33,0.022,140.58,y,3,n,,21.49,20,,,,6/8/2012,6/11/12,Cockroach not collected. Severe termite damage on underside of log.,6/11/12
PLOC,2-1-D,1-H,6/8/2012,21.70,81.45/88.80,87.67/88.19,700.81,13.39,686.8,1.16,0.1,308.14,y,3,y,10:40,23.76,20,,,,6/8/2012,6/11/12,Brown recluse not collected.,6/11/12
PRSE/PRVI,1-Y,1-H,6/7/2012,21.40,49.0/50.25,50.54/52.78,239.92,0,228.83,0.37,0.0455,147.29,y,2,n,,18,20,,,,6/7/2012,6/11/12,Several deep insect bores.,6/11/12
QUAL,2-B,1-H,6/8/2012,22.10,81.54/81.5,80.5279.59,866.65,0,852.08,1.06,0.034,640.25,n,0,n,,26.34,20,,,,6/8/2012,6/11/12,,6/11/12
QUVE,2-B,1-H,6/8/2012,21.20,57.66/60,57.8/60.77,358.87,0,331.13,0.49,0.0415,207.28,y,2,n,,50.27,20,,,,6/8/2012,6/11/12,,6/11/12
QUVE2,2-E,1-H,6/8/2012,22.10,65.51/67.38,68.95/66.04,576.61,0,568.01,0.72,0.0285,441.69,y,1,n,,15.48,20,,,,6/8/2012,6/11/12,,6/11/12
ULRU,3-J,1-H,6/8/2012,21.30,64.02/62.3,62.15/62.42,476.99,19.83,468.39,0.64,0.02,375.9,n,1,n,,16.47,20,,,,6/8/2012,6/11/12,,6/11/12
VIVU,3-C,1-H,6/8/2012,20.00,56.95/62.89,57.74/61.74,346.32,0,335.99,0.56,0.0425,242.43,y,1,n,,31.02,20,,,,6/8/2012,6/11/12,,6/11/12
CEDA,3-B,1-H,6/7/2012,,,,,,,,,316.33,,,,,,,,,,6/25/2012,6/29/2012,,
CHRY,2-I,1-H,6/7/2012,,,,,,,,,342.61,,,,,,,,,,6/25/2012,6/29/2012,,
HDMP,3-D,1-H,6/7/2012,,,,,,,,,348.55,,,,,,,,,,6/25/2012,6/29/2012,,
HICK,3-A,1-H,6/7/2012,,,,,,,,,469.85,,,,,,,,,,6/25/2012,6/29/2012,,
PINE,3-C,1-H,6/7/2012,,,,,,,,,242.36,,,,,,,,,,6/25/2012,6/29/2012,,
ROAK,3-F,1-H,6/7/2012,,,,,,,,,384.2,,,,,,,,,,6/25/2012,6/29/2012,,
ROSE,4-E,1-H,6/7/2012,,,,,,,,,579.19,,,,,,,,,,6/25/2012,6/29/2012,,
ZEBRA,2-A,1-H,6/7/2012,,,,,,,,,398.93,,,,,,,,,,6/25/2012,6/29/2012,,
ACRU,4-E,2-L,6/19/2012,21.60,76.96/81.36,74.91/75.34,659.82,43.09,647.44,0.98,0.0215,324.73,y,2,y,"11:51 (D), 11:52 (D)",38.21,20,,,,6/19/2012,6/22/2012,Toothed polypore and jelly fungus collected.,
AEGL,3-X,2-L,6/19/2012,22.60,47.52/49.55,45.28/51.14,147.93,18.07,143.36,0.37,0.026,97.02,y,2,n,,47.51,17,,,,6/19/2012,6/22/2012,A few bores in each end. Ant nest - not all were collected.,
AMAR,3-E,2-L,6/19/2012,20.80,51.63/56.88,58.84/60.78,339.77,3.29,318.47,0.49,0.0285,195.41,y,2,y,11:31 (D) x2,55.28,20,,,,6/19/2012,6/22/2012,Two fruiting bodies with caps and stipes were collected from one end of log. White-rot.,
ASTR,1-A,2-L,6/19/2012,21.00,41.07/43.54,36.49/41.86,161.17,0.4,147.78,0.23,0.0285,59.31,y,3,n,,39.86,17,,,,6/19/2012,6/22/2012,,
CATO,3-D,2-L,6/19/2012,21.00,76.68/71.63,68.29/66.20,444.32,117.29,437.85,0.73,0.034,321.86,y,2,y,11:44 (D),30.68,20,,,,6/19/2012,6/22/2012,A few insect galleries and a very old (mostly fallen-off) white polyore. Specimen also found on bark - photographed and collected. White-rot.,
CEOC,1-D,2-L,6/19/2012,21.00,58.77/63.64,57.23/71.02,333.35,8.56,323.78,0.51,0.047,122.23,y,2,y,11:26 (D),61.06,9,,,,6/19/2012,6/22/2012,White-rot. Blue crust fungus in picture was found on about 1/6th of log surface.,
CEOC2,3-C,2-L,6/20/2012,21.70,72.19/80.21,76.16/71.99,608.18,0,596.81,0.92,0.0235,399.14,y,1,n,,30.28,20,,,,6/20/2012,6/25/2012,,
COFL,4-D,2-L,6/19/2012,21.60,56.38/60.66,58.18/59.00,374.51,11.32,365.7,0.57,0.016,271.12,y,1,n,,15.82,20,,,,6/19/2012,6/22/2012,,
DIVI,3-J,2-L,6/19/2012,22.30,68.75/70.56,77.01/80.41,601.07,19.36,586.51,0.83,0.027,347.07,y,2,y,12:10 (D),23.1,20,,,Deldinia sp. (not photographed),6/19/2012,6/22/2012,,
FRAM,2-H,2-L,6/20/2012,22.30,66.31/67.52,65.17/65.73,555.18,0,545.08,0.69,0.0175,394.96,n,0,n,,13.11,20,,,,6/20/2012,6/25/2012,,
GLTR,3-F,2-L,6/19/2012,21.30,40.87/51.75,46.42/57.54,249.56,0,228.88,0.33,0.0355,71.46,y,3,n,,30.32,20,,,,6/19/2012,6/22/2012,Insect bores covering much of log. Evidence of brown and white rot.,
JUNI,2-C,2-L,6/20/2012,21.90,73.23/78.96,70.64/76.98,687.22,0,678.57,0.94,0.0265,475.99,y,1,n,,18.55,20,,,,6/20/2012,6/25/2012,,
JUVI,1-K,2-L,6/20/2012,20.50,75.62/74.91,78.62/103.32,621.74,0.49,615.12,1.01,0.0255,492.04,y,2,n,,21.89,20,,,,6/20/2012,6/25/2012,Insect galleries.,
JUVI2,6-C,2-L,6/20/2012,21.80,71.58/73.50,74.32/72.55,581.19,0.37,572.54,0.92,0.0035,442.53,y,1,n,,22.77,20,,,,6/20/2012,6/25/2012,A few shallow insect bores.,
LOMA,4-A,2-L,6/20/2012,22.30,58.17/57.03,62.32/62.05,512.92,5.14,502.22,0.57,0.014,343.05,y,1,n,,9.57,20,,,,6/20/2012,6/25/2012,A couple of shallow insect bores.,
PIEC,3-E,2-L,6/20/2012,21.70,54.70/54.46,53.33/57.01,348.55,1.76,341.71,0.516,0.034,204.78,n,0,n,,35.38,20,,,,6/20/2012,6/25/2012,,
PIST,1-B,2-L,6/19/2012,21.20,59.98/60.42,68.87/63.48,372.5,27.82,365.74,0.56,0.0505,168.42,y,2,y,"10:36 (D), 10:37 (D)",34.77,20,,,Trichaptum biforme,6/19/2012,6/22/2012,Medium-depth insect galleries covering approximately half of log. Fruiting bodies (probably Trichaptum biforme) were photographed and collected.,
PLOC,2-1-B,2-L,6/19/2012,20.90,77.31/80.32,80.15/89.97,451.43,8.24,443.08,0.81,0.2135,134.42,y,2,y,"11:00 (D) x2, 11:01 (D)",79.56,1,,,,6/19/2012,6/22/2012,Extensive white-rot with spongy white wood. Beige jelly fungi on ends of logs were photographed and collected.,
PRSE/PRVI,2-G,2-L,6/19/2012,22.70,63.61/60.18,54.19/51.80,416.74,36.95,399.78,0.48,0.0415,230.72,y,2,n,,17.57,20,,,,6/19/2012,6/22/2012,Ant nest. Extensive white-rot and evidence of possible animal gnawing.,
QUAL,2-I,2-L,6/19/2012,22.20,65.29/64.54,64.89/70.39,582.59,6.59,572.99,0.78,0.0305,378.11,n,0,y,"12:00 (D), 12:01 (D) x2",30.29,20,,,,6/19/2012,6/22/2012,,
QUVE,1-E,2-L,6/19/2012,20.40,52.84/86.57,57.12/66.10,532.7,105.1,517.64,0.67,0.0345,313.26,y,2,y,"11:14 (D), 11:15 (D), 11:17 (d) x2",20.25,20,,,,6/19/2012,6/22/2012,Extensive white-rot and large white toothed polypore covering much of bark. Sample collected.,
QUVE2,5-K,2-L,6/20/2012,22.10,62.95/72.28,64.54/62.50,499.61,0,491.18,0.67,0.0185,360.01,y,1,y,10:15 (D),19.25,20,,,Stereum hirsutum,6/20/2012,6/25/2012,Lots of white mycelium on bark. ,
ULRU,2-C,2-L,6/19/2012,20.70,64.94/62.90,62.92/66.11,328.57,72.7,321.5,0.6,0.0165,199.15,y,3,n,,50.19,20,,,,6/19/2012,6/22/2012,Extensive insect galleries across log. ,
VIVU,2-2-J,2-L,6/19/2012,21.70,26.20/39.50,44.13/45.83,243.82,32.49,217.84,0.26,0.021,73.34,y,3,n,,44.4,7,,,,6/19/2012,6/22/2012,Ant nest. Lots of centipedes. Many chunks missing from log. Wood is wet and soft.,
CEDA,3-A,2-L,6/19/2012,,,,,,,,,294.98,,,,,,,,,,6/25/2012,6/29/2012,,
CHRY,2-C,2-L,6/19/2012,,,,,,,,,413.12,,,,,,,,,,6/25/2012,6/29/2012,,
HDMP,2-E,2-L,6/19/2012,,,,,,,,,235.71,,,,,,,,,,6/25/2012,6/29/2012,,
HICK,2-E,2-L,6/19/2012,,,,,,,,,331.71,,,,,,,,,,6/25/2012,6/29/2012,,
PINE,1-E,2-L,6/19/2012,,,,,,,,,196.38,,,,,,,,,,6/25/2012,6/29/2012,,
ROAK,3-B,2-L,6/19/2012,,,,,,,,,378.73,,,,,,,,,,6/25/2012,6/29/2012,,
ROSE,3-D,2-L,6/19/2012,,,,,,,,,547.91,,,,,,,,,,6/25/2012,6/29/2012,,
ZEBRA,4-C,2-L,6/19/2012,,,,,,,,,325.47,,,,,,,,,,6/25/2012,6/29/2012,,
ACRU,1-1-A,2-H,6/20/2012,21.50,52.35/58.19,50.88/59.79,267.61,11.89,258.06,0.48,0.0395,165.25,y,2,y,11:17 (D),36.48,20,,,,6/20/2012,6/25/2012,Several medium-sized insect bores.,
AEGL,4-F,2-H,6/20/2012,20.50,50.41/50.90,55.23/60.21,102.81,18.67,97.15,0.37,0.033,56.41,y,2,n,,48.21,4,,,,6/20/2012,6/25/2012,Log is light for its size.  A couple of large bores. Thumb tacks removed before final dry weight.,
AMAR,2-I,2-H,6/20/2012,21.30,52.17/62.36,54.15/64.11,244.12,16.36,221.09,0.39,0.0655,90.95,y,3,y,,51.61,2,,,,6/20/2012,6/25/2012,Lots of frass. Log is light for its size. Fruiting bodies too old and mangled to ID or collect.,
ASTR,1-E,2-H,6/20/2012,21.10,47.52/47.89,44.91/45.07,152.86,5.13,144.63,0.315,0.027,102.39,y,2,n,,27.17,20,,,,6/20/2012,6/25/2012,A few medium-sized and small insect bores.,
CATO,3-G,2-H,6/20/2012,20.30,77.47/75.49,76.88/73.61,639.12,0,622.49,0.93,0.0185,485.69,y,2,n,,8.41,20,,,,6/20/2012,6/25/2012,A few medium-sized and small insect bores. Difficult to tell if there is insect damage beneath bark.,
CEOC,1-G,2-H,6/20/2012,21.70,63.55/69.91,57.13/63.23,343.88,26.4,333.98,0.71,0.0395,239.72,y,3,y,10:51 (D),38.75,20,,,,6/20/2012,6/25/2012,Fruiting body is more purple-mauve than in photograph. Was not collected. ,
CEOC2,5-B,2-H,6/21/2012,21.90,59.75/58.58,61.70/61.13,476.87,0,466.72,0.64,0.019,369.65,n,0,n,,8.36,20,,,,6/21/2012,6/25/2012,,
COFL,1-H,2-H,6/21/2012,21.00,59.83/59.00,61.53/60.22,405.75,11.99,395.38,0.58,0.03,305.56,y,2,y,10:51 (D),12.81,20,,,,6/21/2012,6/25/2012,"Termites, spiders. White rot. Old corticioid fruiting body not collected.",
DIVI,3-B,2-H,6/21/2012,22.10,62.62/58.58,64.20/64.05,323.84,33.99,314.95,0.64,0.022,249.8,y,2,y,,35.85,20,,,Deldinia sp.,6/21/2012,6/25/2012,,
FRAM,3-K,2-H,6/21/2012,22.80,50.28/53.94,52.01/55.03,366.92,0,357.24,0.49,0.021,293.06,n,0,n,,8.73,20,,,,6/21/2012,6/25/2012,,
GLTR,1-X,2-H,6/21/2012,21.90,45.78/48.22,45.86/50.12,183.61,1.92,173.75,0.29,0.028,126.04,y,2,n,,14.19,20,,,,6/21/2012,6/25/2012,Insect damage to bottom of log.,
JUNI,2-B,2-H,6/21/2012,21.90,80.15/77.35,73.01/74.20,716.13,0,707,0.97,0.0295,550.97,y,1,n,,10.13,20,,,,6/21/2012,6/25/2012,,
JUVI,4-J,2-H,6/21/2012,21.80,56.40/53.23,56.32/56.00,338.68,0,331.07,0.52,0.032,279.85,y,2,n,,8.39,20,,,,6/21/2012,6/25/2012,Insect galleries.,
JUVI2,5-A,2-H,6/21/2012,22.00,73.85/76.41,73.20/75.17,619.91,0,610.04,0.95,0.0285,504.02,y,1,n,,15.22,20,,,,6/21/2012,6/25/2012,A few shallow insect bores on bottom of log. Removed one thumb tack before taking final dry weight.,
LOMA,10-A,2-H,6/21/2012,22.50,65.68/67.24,65.40/65.71,659.28,0,646.78,0.78,0.0305,481.72,n,0,n,,9.37,20,,,,6/21/2012,6/25/2012,Thick white mycelium on one end of log.,
PIEC,2-F,2-H,6/21/2012,21.60,74.20/69.16,69.04/66.82,483.24,0,473.99,0.88,0.0145,357.55,n,0,n,,19.87,20,,,,6/21/2012,6/25/2012,,
PIST,3-2-B,2-H,6/21/2012,20.60,79.26/81.02,66.46/69.29,498.58,20.84,490.92,0.82,0.037,336.3,y,1,n,,7.81,20,,,,6/21/2012,6/25/2012,White rot evident.,
PLOC,2-1-F,2-H,6/20/2012,21.50,83.97/79.33,83.86/78.70,489.62,13.98,482.15,1.11,0.036,338.33,y,3,n,,31.93,20,,,,6/20/2012,6/25/2012,Insect galleries and bores across bottom of log.,
PRSE/PRVI,2-D,2-H,6/20/2012,21.30,51.90/68.04,55.72/71.28,349.07,68.64,333.42,0.56,0.0395,213.63,y,3,y,11:01 (D),17.33,20,,,,6/20/2012,6/25/2012,Ant nest. Chunks missing across log. Two thumb tacks removed before taking final weight.,
QUAL,2-D,2-H,6/21/2012,21.90,81.03/77.52,75.44/69.77,835.11,0,822.65,1.08,0.0445,589.49,y,1,n,,14.39,20,,,,6/21/2012,6/25/2012,Difficult to inspect insect damage due to intact bark.,
QUVE,1-F,2-H,6/21/2012,20.60,71.43/75.64,62.69/67.02,573.51,0,551.82,0.89,0.0495,391.91,y,2,n,,31.17,20,,,,6/21/2012,6/25/2012,,
QUVE2,2-D,2-H,6/21/2012,21.80,64.40/62.78,68.77/72.62,555.15,0,543.37,0.73,0.032,411.06,y,1,n,,15.35,20,,,,6/21/2012,6/25/2012,,
ULRU,2-E,2-H,6/21/2012,21.50,66.18/72.99,71.71/81.78,403.92,0,396.72,0.86,0.0415,290.94,y,2,y,10:17 (D),32.46,20,,,,6/21/2012,6/25/2012,,
VIVU,1-H,2-H,6/21/2012,21.90,41.31/40.76,42.96/42.94,172.98,0,148.27,0.2,0.0395,83.38,y,3,n,,41.1,5,,,,6/21/2012,6/25/2012,Ant nest. Pulled off two thumb tacks before final dry weight.,
CEDA,4-A,2-H,6/20/2012,,,,,,,,,251.55,,,,,,,,,,6/25/2012,6/29/2012,,
CHRY,2-G,2-H,6/20/2012,,,,,,,,,366.04,,,,,,,,,,6/25/2012,6/29/2012,,
HDMP,4-A,2-H,6/20/2012,,,,,,,,,352.89,,,,,,,,,,6/25/2012,6/29/2012,,
HICK,3-C,2-H,6/20/2012,,,,,,,,,450.12,,,,,,,,,,6/25/2012,6/29/2012,,
PINE,4-A,2-H,6/20/2012,,,,,,,,,276.62,,,,,,,,,,6/25/2012,6/29/2012,,
ROAK,3-E,2-H,6/20/2012,,,,,,,,,395.96,,,,,,,,,,6/25/2012,6/29/2012,,
ROSE,2-G,2-H,6/20/2012,,,,,,,,,550.82,,,,,,,,,,6/25/2012,6/29/2012,,
ZEBRA,1-B,2-H,6/20/2012,,,,,,,,,448.38,,,,,,,,,,6/25/2012,6/29/2012,,
ACRU,1-1-C,3-L,6/18/2012,21.50,59.95/55.44,66.29/57.82,295.24,0,288.65,0.55,0.068,139.45,y,1,y,"10:57 (D), 10:58 (D) x2",54.71,2,,,,6/18/2012,6/21/2012,Grey-beige toothed resupinate polypore covering much of bark was collected. Serious white rot beneath bark.,
AEGL,3-G,3-L,6/18/2012,21.30,55.61/60.36,54.68/58.86,241.13,0,218.27,0.57,0.037,127.3,y,3,n,,60.78,10,,,,6/18/2012,6/21/2012,Wood is softened under intact bark. Thin roots growing into and beneath bark.,
